               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10076,             0.04973,                   0,              0.4615,             0.36874,             0.31779,             0.11409,            0.077796,            0.044856,                   0,            0.070149,           0.0033168,           0.0033168
                   1,             0.07816,            0.048406,                   0,             0.67485,             0.47657,             0.50437,             0.20276,            0.067826,             0.04632,                   0,             0.03949,           0.0059918,           0.0059918
                   2,            0.071357,            0.048663,                   0,              0.6788,             0.48868,             0.51724,             0.22262,            0.066874,            0.044871,                   0,           0.0081718,           0.0080068,           0.0080068
                   3,            0.065743,            0.047863,                   0,             0.79222,             0.52405,             0.58538,              0.2734,            0.061615,            0.043201,                   0,             0.00703,             0.00703,             0.00703
                   4,            0.062658,             0.04652,                   0,             0.80813,             0.55931,             0.62176,             0.29553,             0.05917,            0.042358,                   0,             0.00703,             0.00703,             0.00703
                   5,            0.060975,            0.046204,                   0,             0.82765,             0.57168,             0.63473,             0.31011,            0.057981,            0.042504,                   0,             0.00604,             0.00604,             0.00604
                   6,            0.060813,            0.045939,                   0,             0.83157,             0.58219,             0.64901,             0.32242,            0.056802,            0.041335,                   0,             0.00505,             0.00505,             0.00505
                   7,            0.058931,            0.044385,                   0,              0.8439,             0.58821,             0.66118,             0.33466,            0.056012,            0.041169,                   0,             0.00406,             0.00406,             0.00406
                   8,             0.05911,            0.044857,                   0,             0.84407,             0.59601,             0.66426,             0.33313,            0.055526,            0.040821,                   0,             0.00307,             0.00307,             0.00307
                   9,            0.057648,            0.043867,                   0,             0.85302,             0.60442,             0.67634,             0.34716,             0.05498,            0.040448,                   0,             0.00208,             0.00208,             0.00208
